Teh Organik;teh-organik;Nana Sutrisna;NULL;NULL;NULL;application/pdf;NULL;978-979-3595-31-3;738.37;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/Juknis_Teh_organik_2013.pdf
Teh Organik;teh-organik;Nana Sutrisna;NULL;NULL;NULL;application/pdf;NULL;978-979-3595-31-3;212.03;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/somaclone.pdf
Teh Organik;teh-organik;Nana Sutrisna;NULL;NULL;NULL;application/pdf;NULL;978-979-3595-31-3;212.03;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/somaclone1.pdf
Teh Organik;teh-organik;Nana Sutrisna;NULL;NULL;NULL;application/pdf;NULL;978-979-3595-31-3;212.03;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/somaclone2.pdf
Teh Organik;teh-organik;Nana Sutrisna;NULL;NULL;NULL;application/pdf;NULL;978-979-3595-31-3;212.03;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/somaclone3.pdf
Teh Organik;teh-organik;Nana Sutrisna;NULL;NULL;NULL;application/pdf;NULL;978-979-3595-31-3;212.03;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/somaclone4.pdf
Petunjuk Teknis Edisi 2: Analisis Kimia Tanah, Tanaman, Air, dan Pupuk;petunjuk-teknis-edisi-2-analisis-kimia-tanah-tanaman-air-dan-pupuk;Eviati;NULL;NULL;NULL;application/pdf;NULL;ISBN 978-602-8039-21-5;;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/pp142052.pdf
Petunjuk Teknis Pendampingan Teknologi SL-PTT Padi;petunjuk-teknis-pendampingan-teknologi-sl-ptt-padi;Abdul Wahid Rauf;NULL;NULL;NULL;application/pdf;NULL;9786029990133;143.78;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/05_PENGARUH_KETERSEDIAAN_AIR_DAN_PEMUPUKAN_FOSPAT_BATUAN_TERHADAP_PERTUMBUHAN_BENIH_JARAK_PAGAR_(Jatropha_curcas_L).pdf
Hama Penting Tanaman Padi;hama-penting-tanaman-padi;Abdul Wahid Rauf;NULL;NULL;NULL;application/pdf;NULL;9786029990171;241.83;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/j.Pascapanen_.2005_2_3_.pdf
Pupuk Hayati Unggulan Nasional (PHUN) Kedelai Lahan Rawa Pasang Surut;pupuk-hayati-unggulan-nasional-phun-kedelai-lahan-rawa-pasang-surut;Pantjar Simatupang;NULL;NULL;NULL;application/pdf;NULL;-;249.05;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/Pendugaan_Daya_Gabung_dan_Heretosis.pdf
Pemanfaatan Jerami Padi Sebagai Pakan Ternak;pemanfaatan-jerami-padi-sebagai-pakan-ternak;Endang Susilawati;NULL;NULL;NULL;application/pdf;NULL;;80.76;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/07-Heru.pdf
Pemanfaatan Jerami Padi Sebagai Pakan Ternak;pemanfaatan-jerami-padi-sebagai-pakan-ternak;Endang Susilawati;NULL;NULL;NULL;;NULL;;;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/
Teknologi Budidaya Kailan Dalam Pot;teknologi-budidaya-kailan-dalam-pot;Suharyon;NULL;NULL;NULL;application/pdf;NULL;0;872;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/b1_02.pdf
Teknologi Budidaya Kailan Dalam Pot;teknologi-budidaya-kailan-dalam-pot;Suharyon;NULL;NULL;NULL;;NULL;0;;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/
Teknologi Budidaya Kailan Dalam Pot;teknologi-budidaya-kailan-dalam-pot;Endang Susilawati;NULL;NULL;NULL;application/pdf;NULL;0;872;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/b1_02.pdf
Teknologi Budidaya Kailan Dalam Pot;teknologi-budidaya-kailan-dalam-pot;Endang Susilawati;NULL;NULL;NULL;;NULL;0;;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/
Teknologi Membuat Kandang Sapi;teknologi-membuat-kandang-sapi;Bustami;NULL;NULL;NULL;application/pdf;NULL;;2790;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/b1_53.pdf
Teknologi Membuat Kandang Sapi;teknologi-membuat-kandang-sapi;Bustami;NULL;NULL;NULL;;NULL;;;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/
Teknologi Budidaya Paria Dalam Pot;teknologi-budidaya-paria-dalam-pot;Jumakir;NULL;NULL;NULL;application/pdf;NULL;;1623.24;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/j.Pascapanen_.2005_2_5_.pdf
Teknologi Budidaya Paria Dalam Pot;teknologi-budidaya-paria-dalam-pot;Jumakir;NULL;NULL;NULL;;NULL;;;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/
;indo-jarwo-transplanter-and-combine-harvester-supporting-rice-sustainable-and-self-sufficiency;Agung Prabowo;NULL;NULL;NULL;application/pdf;NULL;;149.18;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/Set010-lisa_12_3_-ok.pdf
;indo-jarwo-transplanter-and-combine-harvester-supporting-rice-sustainable-and-self-sufficiency;Agung Prabowo;NULL;NULL;NULL;application/pdf;NULL;;1337.56;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/Buku-JarwoCombine-revisi-FINAL-Trip_(english).pdf
Pengendalian hama dan penyankit pada tanaman padi di Sulawesi Selatan;pengendalian-hama-dan-penyankit-pada-tanaman-padi-di-sulawesi-selatan;;NULL;NULL;NULL;application/pdf;NULL;;148.37;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/wazo101-1.pdf
Pengendalian hama dan penyankit pada tanaman padi di Sulawesi Selatan;pengendalian-hama-dan-penyankit-pada-tanaman-padi-di-sulawesi-selatan;;NULL;NULL;NULL;application/pdf;NULL;;5155.27;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/COBA_NIDA.pdf
Pengendalian hama dan penyankit pada tanaman padi di Sulawesi Selatan;pengendalian-hama-dan-penyankit-pada-tanaman-padi-di-sulawesi-selatan;;NULL;NULL;NULL;application/pdf;NULL;;5155.27;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/COBA_NIDA.pdf
Pengeloaan tanaman terpadu (PTT) padi sawah;pengeloaan-tanaman-terpadu-ptt-padi-sawah;Arafah;NULL;NULL;NULL;application/pdf;NULL;;354.51;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/WAZO92-2.PDF
Pengeloaan tanaman terpadu (PTT) padi sawah;pengeloaan-tanaman-terpadu-ptt-padi-sawah;Arafah;NULL;NULL;NULL;application/pdf;NULL;;1441.63;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/Artikel.pdf.pdf
Teknologi pascapanen kedelai;teknologi-pascapanen-kedelai;Wanti Dewayani;NULL;NULL;NULL;application/pdf;NULL;;315.36;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/b3_11a.pdf
Teknologi pascapanen kedelai;teknologi-pascapanen-kedelai;Wanti Dewayani;NULL;NULL;NULL;application/pdf;NULL;;1335.76;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/artikel_kedelai.pdf
Vertiminaponik: Cara Baru Berbudidaya Sayuran dan Ikan;vertiminaponik-cara-baru-berbudidaya-sayuran-dan-ikan;Yudi Sastro;NULL;NULL;NULL;application/pdf;NULL;978-979-3628-27-1;292.18;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/p3311125.pdf
Vertiminaponik: Cara Baru Berbudidaya Sayuran dan Ikan;vertiminaponik-cara-baru-berbudidaya-sayuran-dan-ikan;Yudi Sastro;NULL;NULL;NULL;application/pdf;NULL;978-979-3628-27-1;8665.84;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/brosur_vertiminaponik.pdf
Vertiminaponik: Cara Baru Berbudidaya Sayuran dan Ikan;vertiminaponik-cara-baru-berbudidaya-sayuran-dan-ikan;Yudi Sastro;NULL;NULL;NULL;application/pdf;NULL;978-979-3628-27-1;8665.84;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/brosur_vertiminaponik.pdf
Teknologi Pembuatan Pupuk Organik;teknologi-pembuatan-pupuk-organik;Yudi Sastro;NULL;NULL;NULL;application/pdf;NULL;978-979-3628-14-1;231.42;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/p3311126.pdf
Teknologi Pembuatan Pupuk Organik;teknologi-pembuatan-pupuk-organik;Yudi Sastro;NULL;NULL;NULL;application/pdf;NULL;978-979-3628-14-1;2317.62;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/brosur_pupuk_organik.pdf
Teknologi Perbanyakan Benih Sayuran Dataran Rendah;teknologi-perbanyakan-benih-sayuran-dataran-rendah;Indarti Puji Lestari;NULL;NULL;NULL;application/pdf;NULL;978-979-3628-24-0;379.03;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/bk1_10.pdf
Teknologi Perbanyakan Benih Sayuran Dataran Rendah;teknologi-perbanyakan-benih-sayuran-dataran-rendah;Indarti Puji Lestari;NULL;NULL;NULL;application/pdf;NULL;978-979-3628-24-0;1095.45;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/brosur_perbanyakan_benih.pdf
Teknologi Perbanyakan Benih Sayuran Dataran Rendah;teknologi-perbanyakan-benih-sayuran-dataran-rendah;Yudi Sastro;NULL;NULL;NULL;application/pdf;NULL;978-979-3628-24-0;379.03;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/bk1_10.pdf
Teknologi Perbanyakan Benih Sayuran Dataran Rendah;teknologi-perbanyakan-benih-sayuran-dataran-rendah;Yudi Sastro;NULL;NULL;NULL;application/pdf;NULL;978-979-3628-24-0;1095.45;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/brosur_perbanyakan_benih.pdf
Pupuk dan Pemupukan Tanaman Belimbing;pupuk-dan-pemupukan-tanaman-belimbing;Yudi Sastro;NULL;NULL;NULL;application/pdf;NULL;978-979-3628-13-4;565.54;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/bk1_09a.pdf
Pupuk dan Pemupukan Tanaman Belimbing;pupuk-dan-pemupukan-tanaman-belimbing;Yudi Sastro;NULL;NULL;NULL;application/pdf;NULL;978-979-3628-13-4;250.43;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/brosur_pupuk_belimbing.pdf
Pupuk dan Pemupukan Tanaman Belimbing;pupuk-dan-pemupukan-tanaman-belimbing;Muflihani Yanis;NULL;NULL;NULL;application/pdf;NULL;978-979-3628-13-4;565.54;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/bk1_09a.pdf
Pupuk dan Pemupukan Tanaman Belimbing;pupuk-dan-pemupukan-tanaman-belimbing;Muflihani Yanis;NULL;NULL;NULL;application/pdf;NULL;978-979-3628-13-4;250.43;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/brosur_pupuk_belimbing.pdf
Pupuk dan Pemupukan Tanaman Belimbing;pupuk-dan-pemupukan-tanaman-belimbing;Syarifah Aminah;NULL;NULL;NULL;application/pdf;NULL;978-979-3628-13-4;565.54;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/bk1_09a.pdf
Pupuk dan Pemupukan Tanaman Belimbing;pupuk-dan-pemupukan-tanaman-belimbing;Syarifah Aminah;NULL;NULL;NULL;application/pdf;NULL;978-979-3628-13-4;250.43;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/brosur_pupuk_belimbing.pdf
Pemupukan Tanaman Hias;pemupukan-tanaman-hias;Heni Wijayanti;NULL;NULL;NULL;application/pdf;NULL;978-979-3628-15-8;322.58;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/wazo11-7.pdf
Pemupukan Tanaman Hias;pemupukan-tanaman-hias;Heni Wijayanti;NULL;NULL;NULL;application/pdf;NULL;978-979-3628-15-8;282.67;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/brosur_pupuk_tanhias.pdf
Minuman Fungsional Jahe Rosela - Roseja;minuman-fungsional-jahe-rosela-roseja;Syarifah Aminah;NULL;NULL;NULL;application/pdf;NULL;978-979-3628-26-4;195.29;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/wazo11-8.pdf
Minuman Fungsional Jahe Rosela - Roseja;minuman-fungsional-jahe-rosela-roseja;Syarifah Aminah;NULL;NULL;NULL;application/pdf;NULL;978-979-3628-26-4;495.64;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/brosur_roseja.pdf
Teknis Budidaya Sayuran Buah: Mendukung Terciptanya Kawasan Rumah Pangan Lestari (KRPL) di Perkotaan;teknis-budidaya-sayuran-buah-mendukung-terciptanya-kawasan-rumah-pangan-lestari-krpl-di-perkotaan;Yudi Sastro;NULL;NULL;NULL;application/pdf;NULL;978-979-3628-22-6;271.68;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/wazo11-9.pdf
Teknis Budidaya Sayuran Buah: Mendukung Terciptanya Kawasan Rumah Pangan Lestari (KRPL) di Perkotaan;teknis-budidaya-sayuran-buah-mendukung-terciptanya-kawasan-rumah-pangan-lestari-krpl-di-perkotaan;Yudi Sastro;NULL;NULL;NULL;application/pdf;NULL;978-979-3628-22-6;6886.66;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/brosur_sayuran_buah.pdf
Teknis Budidaya Sayuran Buah: Mendukung Terciptanya Kawasan Rumah Pangan Lestari (KRPL) di Perkotaan;teknis-budidaya-sayuran-buah-mendukung-terciptanya-kawasan-rumah-pangan-lestari-krpl-di-perkotaan;Indarti Puji Lestari;NULL;NULL;NULL;application/pdf;NULL;978-979-3628-22-6;271.68;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/wazo11-9.pdf
Teknis Budidaya Sayuran Buah: Mendukung Terciptanya Kawasan Rumah Pangan Lestari (KRPL) di Perkotaan;teknis-budidaya-sayuran-buah-mendukung-terciptanya-kawasan-rumah-pangan-lestari-krpl-di-perkotaan;Indarti Puji Lestari;NULL;NULL;NULL;application/pdf;NULL;978-979-3628-22-6;6886.66;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/brosur_sayuran_buah.pdf
Teknis Budidaya Sayuran Daun: Mendukung Terciptanya Kawasan Rumah Pangan Lestari (KRPL) di Perkotaan;teknis-budidaya-sayuran-daun-mendukung-terciptanya-kawasan-rumah-pangan-lestari-krpl-di-perkotaan;Yudi Sastro;NULL;NULL;NULL;application/pdf;NULL;978-979-3628-23-3;273.82;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/wazo11-10.pdf
Teknis Budidaya Sayuran Daun: Mendukung Terciptanya Kawasan Rumah Pangan Lestari (KRPL) di Perkotaan;teknis-budidaya-sayuran-daun-mendukung-terciptanya-kawasan-rumah-pangan-lestari-krpl-di-perkotaan;Yudi Sastro;NULL;NULL;NULL;application/pdf;NULL;978-979-3628-23-3;6534.85;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/brosur_sayuran_daun.pdf
Teknis Budidaya Sayuran Daun: Mendukung Terciptanya Kawasan Rumah Pangan Lestari (KRPL) di Perkotaan;teknis-budidaya-sayuran-daun-mendukung-terciptanya-kawasan-rumah-pangan-lestari-krpl-di-perkotaan;Indarti Puji Lestari;NULL;NULL;NULL;application/pdf;NULL;978-979-3628-23-3;273.82;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/wazo11-10.pdf
Teknis Budidaya Sayuran Daun: Mendukung Terciptanya Kawasan Rumah Pangan Lestari (KRPL) di Perkotaan;teknis-budidaya-sayuran-daun-mendukung-terciptanya-kawasan-rumah-pangan-lestari-krpl-di-perkotaan;Indarti Puji Lestari;NULL;NULL;NULL;application/pdf;NULL;978-979-3628-23-3;6534.85;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/brosur_sayuran_daun.pdf
Budidaya Sayuran Di Pekarangan Sempit;budidaya-sayuran-di-pekarangan-sempit;Yudi Sastro;NULL;NULL;NULL;application/pdf;NULL;978-979-3628-19-6;345.95;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/wazo11-11.pdf
Budidaya Sayuran Di Pekarangan Sempit;budidaya-sayuran-di-pekarangan-sempit;Yudi Sastro;NULL;NULL;NULL;application/pdf;NULL;978-979-3628-19-6;8941.24;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/brosur_sayuran_di_lahan_sempit_-_cover.pdf
Juknis Pengenalan dan Pengendalian Terpadu Penyakit Tungro;juknis-pengenalan-dan-pengendalian-terpadu-penyakit-tungro;I Nyoman Widiarta;NULL;NULL;NULL;application/pdf;NULL;978-602-98272-0-0;2634.52;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/prosb136.pdf
Juknis Pengenalan dan Pengendalian Terpadu Penyakit Tungro;juknis-pengenalan-dan-pengendalian-terpadu-penyakit-tungro;I Nyoman Widiarta;NULL;NULL;NULL;;NULL;978-602-98272-0-0;;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/
Juknis Pengenalan dan Pengendalian Terpadu Penyakit Tungro;juknis-pengenalan-dan-pengendalian-terpadu-penyakit-tungro;M. Yasin;NULL;NULL;NULL;application/pdf;NULL;978-602-98272-0-0;2634.52;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/prosb136.pdf
Juknis Pengenalan dan Pengendalian Terpadu Penyakit Tungro;juknis-pengenalan-dan-pengendalian-terpadu-penyakit-tungro;M. Yasin;NULL;NULL;NULL;;NULL;978-602-98272-0-0;;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/
Juknis Pengenalan dan Pengendalian Terpadu Penyakit Tungro;juknis-pengenalan-dan-pengendalian-terpadu-penyakit-tungro;Muhammad Muhsin;NULL;NULL;NULL;application/pdf;NULL;978-602-98272-0-0;2634.52;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/prosb136.pdf
Juknis Pengenalan dan Pengendalian Terpadu Penyakit Tungro;juknis-pengenalan-dan-pengendalian-terpadu-penyakit-tungro;Muhammad Muhsin;NULL;NULL;NULL;;NULL;978-602-98272-0-0;;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/
Ayam KUB 2014;ayam-kub-2014;;NULL;NULL;NULL;application/pdf;NULL;;868.25;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/prosb201.pdf
Pembuatan Benih Tomat dan Cabai;pembuatan-benih-tomat-dan-cabai;;NULL;NULL;NULL;application/pdf;NULL;;1084.21;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/prosb203.pdf
PetunjukTeknis Pemasangan TBS dan LTBS Sistem Bubu Perangkap Tikus Sawah ;petunjukteknis-pemasangan-tbs-dan-ltbs-sistem-bubu-perangkap-tikus-sawah-;Arlyna Budi Pustika;NULL;NULL;NULL;application/pdf;NULL;;666.14;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/Petunjuk_teknis_pemasangan_TBS_dan_LTBS.pdf
Pembuatan Pupuk Organik dari Limbah Kandang Sapi/Kambing;pembuatan-pupuk-organik-dari-limbah-kandang-sapikambing;Anthoni Marton Sri Saputra;NULL;NULL;NULL;application/pdf;NULL;Agdex:541;3351.41;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/Pembuatan_Pupuk_Organik_dari_Limbah_Kandang_Sapi_Kambing.pdf
Pengelolaan Tanaman Terpadu (PTT) Jagung;pengelolaan-tanaman-terpadu-ptt-jagung;;NULL;NULL;NULL;application/pdf;NULL;Agdex:111/28;3476.65;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/Pengelolaan_Tanaman_Terpadu_(PTT)_Jagung.pdf
Keistimewaan Ayam KUB (Kampung Unggul Badan Litbang Pertanian);keistimewaan-ayam-kub-kampung-unggul-badan-litbang-pertanian;;NULL;NULL;NULL;application/pdf;NULL;Agdex:451;2803.01;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/Keistimewaan_Ayam_KUB_.pdf
Profil UPBS BPTP Yogyakarta;profil-upbs-bptp-yogyakarta;Sarjiman;NULL;NULL;NULL;application/pdf;NULL;Agdex:719;53.61;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/as131122.pdf
Profil UPBS BPTP Yogyakarta;profil-upbs-bptp-yogyakarta;Sarjiman;NULL;NULL;NULL;application/pdf;NULL;Agdex:719;601.33;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/2012_UPBS.pdf
Analisa usaha ternak Kambing/Domba;analisa-usaha-ternak-kambingdomba;Sri Budhi Lestari;NULL;NULL;NULL;application/pdf;NULL;Agdex: 821;857.6;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/prosb228.pdf
Analisa usaha ternak Kambing/Domba;analisa-usaha-ternak-kambingdomba;Sri Budhi Lestari;NULL;NULL;NULL;application/pdf;NULL;Agdex: 821;1865.94;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/2011domba.PDF
Aneka olahan pisang;aneka-olahan-pisang;Heni Purwaningsih;NULL;NULL;NULL;application/pdf;NULL;Agdex:203/83;591.57;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/I-21.pdf
Aneka olahan pisang;aneka-olahan-pisang;Heni Purwaningsih;NULL;NULL;NULL;application/pdf;NULL;Agdex:203/83;1468.83;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/olahan_pisang.PDF
Aneka olahan pisang;aneka-olahan-pisang;;NULL;NULL;NULL;application/pdf;NULL;Agdex:203/83;591.57;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/I-21.pdf
Aneka olahan pisang;aneka-olahan-pisang;;NULL;NULL;NULL;application/pdf;NULL;Agdex:203/83;1468.83;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/olahan_pisang.PDF
Pengendalian Penyakit Pada Ayam Buras ;pengendalian-penyakit-pada-ayam-buras-;;NULL;NULL;NULL;application/for;NULL;Agdex:650;1743918;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/wr214993.pdf
Pengendalian Penyakit Pada Ayam Buras ;pengendalian-penyakit-pada-ayam-buras-;;NULL;NULL;NULL;application/pdf;NULL;Agdex:650;926.02;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/Pengendalian_Penyakit_Pada_Ayam_Buras.pdf
Pengendalian Penyakit Pada Tanaman Pisang;pengendalian-penyakit-pada-tanaman-pisang;Tri Martini;NULL;NULL;NULL;application/for;NULL;Agdex:633;766535;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/wr214996.pdf
Pengendalian Penyakit Pada Tanaman Pisang;pengendalian-penyakit-pada-tanaman-pisang;Tri Martini;NULL;NULL;NULL;application/pdf;NULL;Agdex:633;1048.49;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/Pengendalian_Penyakit_Pada_Tanaman_Pisang.pdf
Penyediaan pakan hijauan pada musim kemarau di lahan kering;penyediaan-pakan-hijauan-pada-musim-kemarau-di-lahan-kering;;NULL;NULL;NULL;;NULL;Agdex:127;;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/
Penyediaan pakan hijauan pada musim kemarau di lahan kering;penyediaan-pakan-hijauan-pada-musim-kemarau-di-lahan-kering;;NULL;NULL;NULL;application/pdf;NULL;Agdex:127;1239.99;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/Penyediaan_Pakan_Hijauan_Pada_Musim_Kemarau_di_lahan_Kering.pdf
Perbaikan kualitas jerami padi sebagi pakan sapi;perbaikan-kualitas-jerami-padi-sebagi-pakan-sapi;Wiendarti Indri Werdhany;NULL;NULL;NULL;application/pdf;NULL;Agdex: 61;909.37;NULL;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/I-24.pdf
