Hama Penting Tanaman Padi;Nana Sutrisna;Pustaka Badan Litbang;;;application/pdf;;978-979-3595-31-3;212.03;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/hama-penting-tanaman-padi
Pupuk Hayati Unggulan Nasional (PHUN) Kedelai Lahan Rawa Pasang Surut;Nana Sutrisna;Pustaka Badan Litbang;;;application/pdf;;978-979-3595-31-3;212.03;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/pupuk-hayati-unggulan-nasional-phun-kedelai-lahan-rawa-pasang-surut
Pemanfaatan Jerami Padi Sebagai Pakan Ternak;Nana Sutrisna;Pustaka Badan Litbang;;;application/pdf;;978-979-3595-31-3;212.03;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/pemanfaatan-jerami-padi-sebagai-pakan-ternak
Teknologi Budidaya Kailan Dalam Pot;Eviati;Pustaka Badan Litbang;;;application/pdf;;ISBN 978-602-8039-21-5;;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/teknologi-budidaya-kailan-dalam-pot
Teknologi Membuat Kandang Sapi;Endang Susilawati;Pustaka Badan Litbang;;;application/pdf;;;80.76;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/teknologi-membuat-kandang-sapi
Teknologi Budidaya Paria Dalam Pot;Suharyon;Pustaka Badan Litbang;;;application/pdf;;0;872;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/teknologi-budidaya-paria-dalam-pot
Pengendalian hama dan penyankit pada tanaman padi di Sulawesi Selatan;Bustami;Pustaka Badan Litbang;;;application/pdf;;;2790;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/pengendalian-hama-dan-penyankit-pada-tanaman-padi-di-sulawesi-selatan
Pengeloaan tanaman terpadu (PTT) padi sawah;Jumakir;Pustaka Badan Litbang;;;;;;;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/pengeloaan-tanaman-terpadu-ptt-padi-sawah
Teknologi pascapanen kedelai;Agung Prabowo;Pustaka Badan Litbang;;;application/pdf;;;1337.56;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/teknologi-pascapanen-kedelai
Vertiminaponik: Cara Baru Berbudidaya Sayuran dan Ikan;Pustaka Badan Litbang;Pustaka Badan Litbang;;;application/pdf;;;5155.27;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/vertiminaponik-cara-baru-berbudidaya-sayuran-dan-ikan
Teknologi Pembuatan Pupuk Organik;Arafah;Pustaka Badan Litbang;;;application/pdf;;;1441.63;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/teknologi-pembuatan-pupuk-organik
Teknologi Perbanyakan Benih Sayuran Dataran Rendah;Wanti Dewayani;Pustaka Badan Litbang;;;application/pdf;;;1335.76;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/teknologi-perbanyakan-benih-sayuran-dataran-rendah
Pupuk dan Pemupukan Tanaman Belimbing;Yudi Sastro;Pustaka Badan Litbang;;;application/pdf;;978-979-3628-14-1;231.42;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/pupuk-dan-pemupukan-tanaman-belimbing
Pemupukan Tanaman Hias;Yudi Sastro;Pustaka Badan Litbang;;;application/pdf;;978-979-3628-13-4;565.54;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/pemupukan-tanaman-hias
Minuman Fungsional Jahe Rosela - Roseja;Muflihani Yanis;Pustaka Badan Litbang;;;application/pdf;;978-979-3628-13-4;565.54;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/minuman-fungsional-jahe-rosela-roseja
Teknis Budidaya Sayuran Buah: Mendukung Terciptanya Kawasan Rumah Pangan Lestari (KRPL) di Perkotaan;Syarifah Aminah;Pustaka Badan Litbang;;;application/pdf;;978-979-3628-13-4;565.54;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/teknis-budidaya-sayuran-buah-mendukung-terciptanya-kawasan-rumah-pangan-lestari-krpl-di-perkotaan
Budidaya Sayuran Di Pekarangan Sempit;Indarti Puji Lestari;Pustaka Badan Litbang;;;application/pdf;;978-979-3628-22-6;271.68;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/budidaya-sayuran-di-pekarangan-sempit
Juknis Pengenalan dan Pengendalian Terpadu Penyakit Tungro;Yudi Sastro;Pustaka Badan Litbang;;;application/pdf;;978-979-3628-23-3;273.82;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/juknis-pengenalan-dan-pengendalian-terpadu-penyakit-tungro
Ayam KUB 2014;I Nyoman Widiarta;Pustaka Badan Litbang;;;application/pdf;;978-602-98272-0-0;2634.52;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/ayam-kub-2014
Pembuatan Benih Tomat dan Cabai;I Nyoman Widiarta;Pustaka Badan Litbang;;;;;978-602-98272-0-0;;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/pembuatan-benih-tomat-dan-cabai
PetunjukTeknis Pemasangan TBS dan LTBS Sistem Bubu Perangkap Tikus Sawah ;M. Yasin;Pustaka Badan Litbang;;;application/pdf;;978-602-98272-0-0;2634.52;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/petunjukteknis-pemasangan-tbs-dan-ltbs-sistem-bubu-perangkap-tikus-sawah-
Pembuatan Pupuk Organik dari Limbah Kandang Sapi/Kambing;M. Yasin;Pustaka Badan Litbang;;;;;978-602-98272-0-0;;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/pembuatan-pupuk-organik-dari-limbah-kandang-sapikambing
Pengelolaan Tanaman Terpadu (PTT) Jagung;Muhammad Muhsin;Pustaka Badan Litbang;;;application/pdf;;978-602-98272-0-0;2634.52;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/pengelolaan-tanaman-terpadu-ptt-jagung
Keistimewaan Ayam KUB (Kampung Unggul Badan Litbang Pertanian);Muhammad Muhsin;Pustaka Badan Litbang;;;;;978-602-98272-0-0;;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/keistimewaan-ayam-kub-kampung-unggul-badan-litbang-pertanian
Profil UPBS BPTP Yogyakarta;Pustaka Badan Litbang;Pustaka Badan Litbang;;;application/pdf;;;868.25;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/profil-upbs-bptp-yogyakarta
Analisa usaha ternak Kambing/Domba;Arlyna Budi Pustika;Pustaka Badan Litbang;;;application/pdf;;;666.14;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/Petunjuk_teknis_pemasangan_TBS_dan_LTBS.pdf
Analisa usaha ternak Kambing/Domba;Anthoni Marton Sri Saputra;Pustaka Badan Litbang;;;application/pdf;;Agdex:541;3351.41;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/Pembuatan_Pupuk_Organik_dari_Limbah_Kandang_Sapi_Kambing.pdf
Aneka olahan pisang;Pustaka Badan Litbang;Pustaka Badan Litbang;;;application/pdf;;Agdex:111/28;3476.65;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/aneka-olahan-pisang
Pengendalian Penyakit Pada Ayam Buras ;Sri Budhi Lestari;Pustaka Badan Litbang;;;application/pdf;;Agdex: 821;857.6;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/pengendalian-penyakit-pada-ayam-buras-
Pengendalian Penyakit Pada Tanaman Pisang;Heni Purwaningsih;Pustaka Badan Litbang;;;application/pdf;;Agdex:203/83;591.57;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/pengendalian-penyakit-pada-tanaman-pisang
Penyediaan pakan hijauan pada musim kemarau di lahan kering;Pustaka Badan Litbang;Pustaka Badan Litbang;;;application/pdf;;Agdex:203/83;591.57;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/penyediaan-pakan-hijauan-pada-musim-kemarau-di-lahan-kering
Perbaikan kualitas jerami padi sebagi pakan sapi;Pustaka Badan Litbang;Pustaka Badan Litbang;;;application/for;;Agdex:650;1743918;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/perbaikan-kualitas-jerami-padi-sebagi-pakan-sapi
Teknologi budidaya kacang hijau di lahan kering;Tri Martini;Pustaka Badan Litbang;;;application/for;;Agdex:633;766535;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/teknologi-budidaya-kacang-hijau-di-lahan-kering
Teknologi pengolahan getuk pisang;Pustaka Badan Litbang;Pustaka Badan Litbang;;;;;Agdex:127;;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/teknologi-pengolahan-getuk-pisang
Dendeng Sayat Daging Sayat;Wiendarti Indri Werdhany;Pustaka Badan Litbang;;;application/pdf;;Agdex: 61;909.37;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/dendeng-sayat-daging-sayat
Teknologi  pasca panen dan pengolahan cabai;Pustaka Badan Litbang;Pustaka Badan Litbang;;;application/pdf;;Agdex:110/20;39.01;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/teknologi-pasca-panen-dan-pengolahan-cabai
Sistem perangkap bubu tikus;Retno Utami Hatmi;Pustaka Badan Litbang;;;application/pdf;;Agdex:112/11;71.14;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/sistem-perangkap-bubu-tikus
Way apo buru varietas padi baru harapan alternatif IR 64;Sukar;Pustaka Badan Litbang;;;application/pdf;;;79.01;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/way-apo-buru-varietas-padi-baru-harapan-alternatif-ir-64
Penyediaan bibit unggul dengan cangkok mini dan sambungan pada kelengkeng dataran rendah;Pustaka Badan Litbang;Pustaka Badan Litbang;;;application/pdf;;;79.01;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/penyediaan-bibit-unggul-dengan-cangkok-mini-dan-sambungan-pada-kelengkeng-dataran-rendah
Membuat pathila;Murwati;Pustaka Badan Litbang;;;application/pdf;;;506.93;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/membuat-pathila
Berbagai pestisida nabati;Sukar;Pustaka Badan Litbang;;;application/pdf;;;150.27;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/berbagai-pestisida-nabati
Ceriping pohong (ubi kayu) rasa gadung;Pustaka Badan Litbang;Pustaka Badan Litbang;;;application/pdf;;;167.62;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/ceriping-pohong-ubi-kayu-rasa-gadung
Penyakit utama pada kacang tanah dan gara pengendaliannya;Suharno;Pustaka Badan Litbang;;;application/pdf;;;472.09;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/penyakit-utama-pada-kacang-tanah-dan-gara-pengendaliannya
Teknologi pengolahan bubuk kedelai sebagai minuman;Murwati;Pustaka Badan Litbang;;;application/pdf;;;88.69;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/teknologi-pengolahan-bubuk-kedelai-sebagai-minuman
Berbagai bentuk olahan susu;Ahmad Musofie A.M.;Pustaka Badan Litbang;;;application/pdf;;;51.11;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/berbagai-bentuk-olahan-susu
Pengenalan varietas padi unggul baru aromatik (millenium) dengan sistem budidaya tanah benih langsung (tabela);Pustaka Badan Litbang;Pustaka Badan Litbang;;;application/pdf;;;51.11;;Pengenalan-varietas-padi-unggul-baru-aromatik-millenium-dengan-sistem-budidaya-tanah-benih-langsung-tabela
Pengendalian penyakit layu (bayong) pada kaxcang tanah;Suharno;Pustaka Badan Litbang;;;application/pdf;;;285.37;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/pengendalian-penyakit-layu-bayong-pada-kaxcang-tanah
Penyakit utama pada tanaman lada;Robertus Mudjisihono;Pustaka Badan Litbang;;;application/pdf;;;539.32;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/penyakit-utama-pada-tanaman-lada
Perbaikan pakan itik turi di wilayah Bantul Selatan;Pustaka Badan Litbang;Pustaka Badan Litbang;;;application/pdf;;;235.35;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/perbaikan-pakan-itik-turi-di-wilayah-bantul-selatan
Cara pengambilan contoh pupuk organik;Suharno;Pustaka Badan Litbang;;;application/pdf;;;160.96;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/cara-pengambilan-contoh-pupuk-organik
Tepung kassava fermentasi;Murwati;Pustaka Badan Litbang;;;application/pdf;;;627.31;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/tepung-kassava-fermentasi
Pembuatan pupuk organik limbah kandang hemat tenaga;Pustaka Badan Litbang;Pustaka Badan Litbang;;;application/pdf;;;2105.73;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/pembuatan-pupuk-organik-limbah-kandang-hemat-tenaga
Percepatan Penyebaran VUB Mendukung SL-PTT Padi di D.I.Yogyakarta Percepatan Penyebaran VUB Mendukung SL-PTT Padi di D.I.Yogyakarta;Titiek Farianti Djaafar;Pustaka Badan Litbang;;;application/pdf;;;2105.73;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/percepatan-penyebaran-vub-mendukung-sl-ptt-padi-di-d.i.yogyakarta-percepatan-penyebaran-vub-mendukung-sl-ptt-padi-di-d.i.yogyakarta
Teknologi Pengolahan umbi-umbian mendukung diverifikasi pangan;Sri Wahyuni Budiarti;Pustaka Badan Litbang;;;application/pdf;;;2295.7;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/teknologi-pengolahan-umbi-umbian-mendukung-diverifikasi-pangan
Infotek Pertanian, Inovasi Teknologi Pertanian untuk penyuluh, Petani, dan Pengguna lain/FEATI;Heri Basuki Raharjo;Pustaka Badan Litbang;;;application/pdf;;;244.02;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/infotek-pertanian-inovasi-teknologi-pertanian-untuk-penyuluh-petani-dan-pengguna-lainfeati
Kelembagaan Manajemenkebun Bibit Desa (KBD) pada Model Kawasan Rumah Pangan Lestari (M-KRPL);Suhardi;Pustaka Badan Litbang;;;application/pdf;;978-979-3450-39-1;1271.63;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/kelembagaan-manajemenkebun-bibit-desa-kbd-pada-model-kawasan-rumah-pangan-lestari-m-krpl
Pengkajian dan Pengembangan  Teknologi Pertanian Spesifi k Lokasi;Yuniarti;Pustaka Badan Litbang;;;application/pdf;;978-979-3450-39-1;1271.63;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/pengkajian-dan-pengembangan-teknologi-pertanian-spesifi-k-lokasi
Pedoman Percepatan Penerapan Teknologi Tebu Terpadu;S.S. Antarlina;Pustaka Badan Litbang;;;application/pdf;;978-979-3450-39-1;1271.63;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/pedoman-percepatan-penerapan-teknologi-tebu-terpadu
Panduan Inventarisasi dan/ atau Koleksi Sumberdaya Genetik Tanaman di Indoenasia;Pustaka Badan Litbang;Pustaka Badan Litbang;;;application/dow;;;961631;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/panduan-inventarisasi-dan-atau-koleksi-sumberdaya-genetik-tanaman-di-indoenasia
Panduan Pelaksanaan Peningkatan Kinerja BPTP;Pustaka Badan Litbang;Pustaka Badan Litbang;;;application/pdf;;978-602-9462-61-6;143.92;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/panduan-pelaksanaan-peningkatan-kinerja-bptp
Model Pengembangan Pertanian Perdesaan Melalui Inovasi (m-P3MI);Pustaka Badan Litbang;Pustaka Badan Litbang;;;application/pdf;;;124.81;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/model-pengembangan-pertanian-perdesaan-melalui-inovasi-m-p3mi
Pengembangan Model Kawasan Rumah Pangan Lestari (M-Krpl) dan Sinergi Program TA. 2013;Pustaka Badan Litbang;Pustaka Badan Litbang;;;application/pdf;;;79.62;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/pengembangan-model-kawasan-rumah-pangan-lestari-m-krpl-dan-sinergi-program-ta.-2013
Sinergi program Kawasan Rumah Pangan Lestari (KRPL) dan Sistem Delivery Benih/Bibit;Pustaka Badan Litbang;Pustaka Badan Litbang;;;application/pdf;;;69.53;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/sinergi-program-kawasan-rumah-pangan-lestari-krpl-dan-sistem-delivery-benihbibit
Predator dalam pengendalian hama pada pertanaman padi;Pustaka Badan Litbang;Pustaka Badan Litbang;;;application/pdf;;978-602-9462-58-6;300.25;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/predator-dalam-pengendalian-hama-pada-pertanaman-padi
Teknologi penggunaan bagan warna daun (BWD) dalam menentukan kebutuhan pupuk N pada tanaman jagung;Pustaka Badan Litbang;Pustaka Badan Litbang;;;application/pdf;;978-602-9462-60-9;73.46;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/teknologi-penggunaan-bagan-warna-daun-bwd-dalam-menentukan-kebutuhan-pupuk-n-pada-tanaman-jagung
Penggunaan rhizobium pada tanaman kedelai;Pustaka Badan Litbang;Pustaka Badan Litbang;;;application/pdf;;978-602-9462-60-9;59.46;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/penggunaan-rhizobium-pada-tanaman-kedelai
Teknologi penggemukan Sapi potong;Achmad Subaidi;Pustaka Badan Litbang;;;application/pdf;;;87.05;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/teknologi-penggemukan-sapi-potong
Teknologi pembibitan tanaman tebu;Iman Priyadi;Pustaka Badan Litbang;;;application/pdf;;;119.32;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/teknologi-pembibitan-tanaman-tebu
Budidaya sayuran secara vertikultur;Harnati Rafiastuti;Pustaka Badan Litbang;;;application/pdf;;;203.05;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/budidaya-sayuran-secara-vertikultur
Umbi-umbian sumber karbohidrat pengganti beras;Raden Sad Hutomo Pribadi;Pustaka Badan Litbang;;;application/pdf;;;376.04;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/umbi-umbian-sumber-karbohidrat-pengganti-beras
Teknologi pengolahan produk tanaman pangan dan hortikultura di lahan lebak;Raden Sad Hutomo Pribadi;Pustaka Badan Litbang;;;application/pdf;;;888.66;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/teknologi-pengolahan-produk-tanaman-pangan-dan-hortikultura-di-lahan-lebak
Tanaman berkhasiat obat mendukung m-krpl;Pustaka Badan Litbang;Pustaka Badan Litbang;;;application/pdf;;;670.14;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/tanaman-berkhasiat-obat-mendukung-m-krpl
Teknologi peningkatan mutu kakao;Dalmadi;Pustaka Badan Litbang;;;application/pdf;;;1369.92;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/teknologi-peningkatan-mutu-kakao
Kawasan rumah pangan lestari, memperkuat ketahanan pangan berkelanjutan;Pustaka Badan Litbang;Pustaka Badan Litbang;;;application/pdf;;;350.93;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/kawasan-rumah-pangan-lestari-memperkuat-ketahanan-pangan-berkelanjutan
Panduan umum pelaksanaan pengkajian serta program informasi, komunikasi dan diseminasi di bptp;Pustaka Badan Litbang;Pustaka Badan Litbang;;;application/pdf;;;287.08;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/panduan-umum-pelaksanaan-pengkajian-serta-program-informasi-komunikasi-dan-diseminasi-di-bptp
Buku 100 Inovasi Pertanian Spesifik Lokasi;Pustaka Badan Litbang;Pustaka Badan Litbang;;;application/pdf;;;198.6;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/buku-100-inovasi-pertanian-spesifik-lokasi
TEKNOLOGI PRODUKSI PISANG/2009;Pustaka Badan Litbang;Pustaka Badan Litbang;;;application/pdf;;;603.65;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/teknologi-produksi-pisang2009
Kebun kelapa sawit sebagai sumber pakan ternak sapi;Pustaka Badan Litbang;Pustaka Badan Litbang;;;application/pdf;;;3349.64;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/kebun-kelapa-sawit-sebagai-sumber-pakan-ternak-sapi
Karakteristik lahan untuk pertanian padi gogo;Pustaka Badan Litbang;Pustaka Badan Litbang;;;application/pdf;;;404.52;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/karakteristik-lahan-untuk-pertanian-padi-gogo
Pemeliharaan Tanaman Jeruk Produktif;Ali Ari Widodo;Pustaka Badan Litbang;;;application/pdf;;;175.25;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/pemeliharaan-tanaman-jeruk-produktif
Mengenal Kopi Liberika Tungkal Komposit;Masito;Pustaka Badan Litbang;;;application/pdf;;;434.7;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/mengenal-kopi-liberika-tungkal-komposit
Teknologi Pascapanen Kopi Liberika Tungkal Komposit;Hendri Purnama;Pustaka Badan Litbang;;;;;;;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/teknologi-pascapanen-kopi-liberika-tungkal-komposit
Integrasi Tanaman Sayuran dan ternak Kelinci di Dataran Tinggi;Defira Suci Gusfarina;Pustaka Badan Litbang;;;application/pdf;;;147.96;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/integrasi-tanaman-sayuran-dan-ternak-kelinci-di-dataran-tinggi
Pembuatan Pupuk Organik dari Limbah Ternak Sapi;Defira Suci Gusfarina;Pustaka Badan Litbang;;;application/pdf;;;543.27;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/pembuatan-pupuk-organik-dari-limbah-ternak-sapi
Perbaiki Kesuburan Tanah melalui Pengembalian Jerami Padi;Dewi Novalinda;Pustaka Badan Litbang;;;application/pdf;;;161.65;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/perbaiki-kesuburan-tanah-melalui-pengembalian-jerami-padi
Produksi benih padi rawa bermutu;Zubir;Pustaka Badan Litbang;;;application/pdf;;;108.91;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/produksi-benih-padi-rawa-bermutu
Nenas tamban unggulan lahan rawa pasang surut;Bustami;Pustaka Badan Litbang;;;application/pdf;;;130.47;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/nenas-tamban-unggulan-lahan-rawa-pasang-surut
Sidik cepat pirit di lapangan;Hery Nugroho;Pustaka Badan Litbang;;;;;;;;http://digilib.litbang.pertanian.go.id/repository/index.php/repository/publikasi/Info_Teknologi/0/sidik-cepat-pirit-di-lapangan
